key,fname,mname,lname,generation,dob,dod,gender,addr1,city,country,postcode,phone,email,website,ssn,ssn_last4,drlic,passport,gov_id,employ,address,income,debtinc,creddebt,othdebt,pending,default
"REF00000001","Joe","Ernest","Brooks","","1938-11-16",1968-08-09,"M","99 East Lane","LLKJVille","United States","LL 7211","0 6350","","",338143,8143,610948,147882,800873,23.000000,16.000000,176.000000,9.300000,11.359392,5.008608,"F","Default"
"REF00000002","Annie","Mildred","Hall","","1989-04-05",,"F","58 Antelope Crescent","ABWQ City","United States","AB 9470","0 3767","annie_hall@www.saqqxxbgh.org","www.saqqxxbgh.org",413318,3318,128493,554947,538905,10.000000,2.000000,31.000000,17.300000,1.362202,4.000798,"F","Repaid"
"REF00000003","Aaron","Juan","Brown","Jr","1931-06-25",1978-07-12,"M","14 Hastings Lane","KSAATown","United States","KS 3714","0 6642","","",997890,7890,330665,856779,152887,10.000000,13.000000,55.000000,5.500000,0.856075,2.168925,"F","Repaid"
"REF00000004","Wayne","Ronald","Washington","","1990-01-02",,"M","9 Zebra Avenue","PZYVille","United States","PZ 9705","0 9298","w.washington@www.upqyzcdb.net","www.upqyzcdb.net",485609,5609,333462,642815,372646,0.000000,4.000000,120.000000,2.900000,2.658720,0.821280,"F","Repaid"
"REF00000005","Kimberly","Carolyn","Adams","","1983-01-21",,"F","35 Panner Way","PZYVille","United States","PZ 8066","0 2643","kimberly_adams@www.dpuxqhxl.org","www.dpuxqhxl.org",440905,905,571850,762208,634841,12.000000,9.000000,28.000000,17.300000,1.787436,3.056564,"F","Default"
"REF00000006","Clarence","Todd","Smith","","1946-05-25",1993-01-27,"M","91 Acacia Way","UWNZ Falls","United States","UW 6235","0 5949","","",833821,3821,399224,530356,554016,24.000000,22.000000,25.000000,10.200000,0.392700,2.157300,"F","Repaid"
"REF00000007","Terry","Henry","Brown","","1974-08-12",,"M","99 Panner Court","LLKJVille","United States","LL 7831","0 5262","terry_brown@www.hryhkvqs.org","www.hryhkvqs.org",274761,4761,881996,213824,713216,3.000000,10.000000,67.000000,30.600000,3.833874,16.668126,"F","Repaid"
"REF00000008","Ryan","Harry","Sanders","","1932-09-04",,"M","89 Dumble Way","PWMSA City","United States","PW 7201","0 1679","ryan_sanders@www.jjqqxxuza.net","www.jjqqxxuza.net",825776,5776,190856,377294,823201,6.000000,7.000000,38.000000,3.600000,0.128592,1.239408,"F","Repaid"
"REF00000009","Andrew","Ralph","Wright","","1987-02-18",,"M","88 Viking Crescent","QXYTown","United States","QX 8027","0 8580","andrew_wright@www.gvoazpfol.net","www.gvoazpfol.net",376372,6372,513403,435882,208779,1.000000,1.000000,19.000000,24.400000,1.358348,3.277652,"F","Default"
"REF00000010","Gary","Patrick","Thomas","","1950-02-26",,"M","98 Kepler Drive","YAZC City","United States","YA 8214","0 5542","g.thomas@www.pypqdouy.com","www.pypqdouy.com",700992,992,937419,640279,788634,9.000000,16.000000,25.000000,19.700000,2.777700,2.147300,"F","Repaid"
"REF00000011","Lillian","Diana","Johnson","","1942-03-28",1985-06-08,"F","24 East Pine Way","ANEZ City","United States","AN 7241","0 8438","","",245666,5666,725421,214674,690232,4.000000,10.000000,16.000000,1.700000,0.182512,0.089488,"F","Repaid"
"REF00000012","Jennifer","Lillian","Gray","","1964-03-21",,"F","83 Treehill Close","ABWQ City","United States","AB 7987","0 7954","jennifer_gray@www.umlykhdi.org","www.umlykhdi.org",487920,7920,221134,193052,352339,0.000000,0.000000,23.000000,5.200000,0.252356,0.943644,"F","Repaid"
"REF00000013","Carlos","Earl","Mitchell","","1926-03-07",1969-09-16,"M","60 Wallsend Lane","ABWQ City","United States","AB 5447","0 6057","","",939388,9388,365791,900513,552186,25.000000,16.000000,64.000000,10.000000,3.929600,2.470400,"F","Repaid"
"REF00000014","Benjamin","Douglas","Robinson","","1944-03-07",,"M","25 Astra Crescent","LLKJVille","United States","LL 4431","0 3818","b.robinson@www.uxuxqhjm.com","www.uxuxqhjm.com",479529,9529,356079,173303,626234,15.000000,31.000000,29.000000,16.300000,1.715901,3.011099,"F","Repaid"
"REF00000015","Stephanie","Theresa","Martin","","1938-11-22",1985-07-19,"F","24 Loom Drive","LLKJVille","United States","LL 4727","0 8172","","",337636,7636,818568,247035,558172,15.000000,1.000000,100.000000,9.100000,3.703700,5.396300,"F","Repaid"
"REF00000016","Ann","Robin","Bailey","","1939-02-18",1987-01-01,"F","98 Ridge Close","PWMSA City","United States","PW 8856","0 1667","","",512601,2601,375395,358345,961534,4.000000,3.000000,49.000000,8.600000,0.817516,3.396484,"F","Default"
"REF00000017","Julia","Rachel","Davis","","1980-07-07",,"F","40 Banburgh Court","ABWQ City","United States","AB 8126","0 1956","j.davis@www.vrqyzirm.org","www.vrqyzirm.org",256377,6377,890045,171994,114510,12.000000,14.000000,41.000000,16.400000,2.918216,3.805784,"F","Default"
"REF00000018","Randy","Albert","Wood","","1940-10-28",,"M","82 Viking Avenue","KSAATown","United States","KS 1022","0 7949","r.wood@www.zyqyzfff.com","www.zyqyzfff.com",984670,4670,697741,838934,971119,15.000000,14.000000,72.000000,7.600000,1.181952,4.290048,"F","Repaid"
